"COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","FREQUENCY.ID","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-3.228","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-3.226","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-2.437","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-2.256","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-1.183","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-1.818","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-2.933","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-6.632","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-4.978","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-4.405","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-4.357","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-4.636","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-5.579","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-5.336","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-3.852","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-1.679","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-1.519","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-0.902","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-1.957","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-2.307","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-3.033","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-2.748","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-2.686","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-3.762","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-3.877","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-2.813","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-2.114","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-2.035","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","0.038","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","0.576","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-1.104","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-0.828","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-0.280","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","0.195","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-7.134","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-4.816","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-4.399","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-2.976","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-4.157","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-3.631","0","Units"
"AUT","Austria","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-3.279","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-0.993","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-0.147","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","2.373","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","2.478","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","1.022","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","2.405","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","1.677","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","1.888","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","1.002","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-0.874","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-1.593","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-0.591","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-0.391","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-0.873","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","0.973","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","0.738","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-0.385","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","0.088","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","0.392","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","1.070","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","0.834","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-0.507","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","1.800","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","2.457","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","2.668","0","Units"
